;规则
;金币,爆率,数量 G,4,30
尸王: G,1,2500|P,S2,3,1|P,S2,2,2|P,S1,5,1|P,S1,5,2|P,R2,3,1|P,R3,2,2|P,B2,3,1|P,B3,2,2|D1,600|M1,3|M2,50|M3,60|M4,85|ST3,1000|ST5,1000|B6,40|B5,10|B4,5|B2,5
尸王2: G,1,500|P,S2,3,200|P,S2,2,400|P,S1,5,200|P,S1,5,400|P,R2,3,200|P,R3,2,400|P,B2,3,200|P,B3,2,400|M1,600|M2,1000|M3,2000|M4,2600|ST3,10000|ST5,200000|B6,8000|B5,2000|B4,1000|B2,1000
沃玛卫士: G,1,700|P,S2,3,1|P,S2,2,2|P,S1,5,1|P,S1,5,2|P,R2,2,1|P,R3,1,1|P,R3,2,2|P,B2,2,1|P,B3,1,1|P,B3,2,2|T1,500|M2,50|M3,20|M4,85|B6,30|B5,50|B4,3
沃玛教主: G,1,6000|P,S2,8,1|P,S2,2,2|P,S1,8,1|P,S1,2,2|P,R3,8,1|P,R3,2,2|P,B3,8,1|P,B3,2,2|P,O2,1,400|D1,60|SR,4000|T2,160|T1,80|W1,1600|M4,85|M5,85|ST1,400|ST4,2000|B6,80|B5,2|O,4,沃玛号角
邪恶钳虫: G,1,3500|P,S2,5,1|P,S2,5,2|P,S1,7,1|P,S1,7,2|P,R2,2,1|P,R3,3,1|P,R3,5,2|P,B2,2,1|P,B3,3,1|P,B3,5,2|D1,120|T2,3200|T1,1600|W1,1600|M4,85|ST2,1500|ST3,1600|B6,320|B5,3|B4,2|B3,3
邪恶钳虫2: G,10,3500|P,S2,5,10|P,S1,4,20|P,R3,5,20|P,B3,5,20|T1,16000|W1,12000|B6,200
触龙神: G,1,14000|P,S2,8,1|P,S2,2,2|P,S1,8,1|P,S1,2,2|P,R3,8,1|P,R3,2,2|P,B3,8,1|P,B3,2,2|P,O2,1,400|D1,120|T2,800|W2,800|T1,400|W1,400|M4,40|M5,80|ST2,1000|B6,80|B5,40|B3,40
邪恶毒蛇: G,1,1500|P,S2,8,1|P,S2,2,2|P,S1,8,1|P,S1,2,2|P,R3,8,1|P,R3,2,2|P,B3,8,1|P,B3,2,2|P,O2,1,80|D1,120|T2,1000|W2,720|T1,500|W1,720|M5,705|ST2,1000|B6,240|B5,5|B3,5
白野猪: G,1,5000|P,S2,5,1|P,S2,5,2|P,S1,5,1|P,S1,5,2|P,R2,3,1|P,R3,3,1|P,R3,6,2|P,B2,3,1|P,B3,3,1|P,B3,6,2|P,O2,1,10|D1,180|T2,320|W2,2000|T1,160|W1,300|M4,85|M5,600|ST2,2000|B6,400|B5,3
白野猪0: G,1,1000|P,S2,4,4|P,S1,4,4|W2,20000|T1,1600|W1,3000|M4,740|M5,800|B6,400|B5,30
神石毒魔蛛: G,1,4000|P,S1,4,1|P,S1,2,2|P,R2,4,2|P,B2,4,2|T1,800|W1,2000|M4,85|M5,700|B6,320|B5,30
赤月恶魔: G,1,24000|P,S2,14,1|P,S2,10,2|P,R3,8,1|P,R3,2,2|P,B3,8,1|P,B3,2,2|P,O2,2,1|D1,3|SR,6400|T3,800|T2,80|W2,1000|T1,40|W1,1000|M4,85|M5,320|ST1,640|ST2,300|B6,60|B5,20
咒魔击雷将: G,1,2000|P,S2,4,2|P,S1,4,2|P,R3,4,2|P,B3,4,2|ZMW,1600|T3,2000|W2,2000|T1,800|W1,1200|ST1,200|ST2,800|B6,80|B5,50
虹魔蝎卫: G,1,4000|P,S2,8,1|P,S2,2,2|P,S1,8,1|P,S1,2,2|P,R3,8,1|P,R3,2,2|P,B3,8,1|P,B3,2,2|P,O2,1,80|D1,120|FMW,5000|T2,800|W2,5000|T1,400|W1,720|M4,352|M5,705|ST2,1000|B6,240|B5,5|B3,5
虹魔猪卫: G,1,5000|P,S2,5,1|P,S2,5,2|P,S1,5,1|P,S1,5,2|P,R2,3,1|P,R3,3,1|P,R3,6,2|P,B2,3,1|P,B3,3,1|P,B3,6,2|D1,180|FMW,5000|T2,640|W2,5000|T1,320|W1,5000|M4,300|M5,600|ST2,2000|B6,400|B5,3
封魔沃玛教主: G,1,6000|P,S2,8,1|P,S2,2,2|P,S1,8,1|P,S1,2,2|P,R3,8,1|P,R3,2,2|P,B3,8,1|P,B3,2,2|P,O2,1,400|D1,60|SR,4000|FMW,5000|T2,160|T1,80|W1,1200|M4,85|M5,85|ST1,400|ST4,2000|B6,80|B5,2
封魔祖玛教主: G,1,30000|P,S2,10,1|P,S2,10,2|P,R4,8,1|P,R4,2,2|P,B4,8,1|P,B4,2,2|P,O2,1,2|D1,30|SR,4000|FMW,4000|SC1,2000|T4P,900|W4,4000|T3,800|W3,3000|T2,60|W2,2000|T1,30|W1,1000|M4,100|M5,320|ST1,640|ST2,500|B6,60|B5,20
虹魔教主: G,1,15000|P,O2,1,1|P,S2,5,1|P,S2,12,2|P,S1,7,1|P,S1,7,2|P,R2,2,1|P,R3,3,1|P,R3,5,2|P,B2,2,1|P,B3,3,1|P,B3,5,2|D1,6|SR,4000|SC1,2000|T4P,900|W4,4000|T3,900|W3,2000|T2,600|W2,600|T1,600|W1,80|M4,100|M5,300|ST2,1000|ST3,800|B6,100|B5,3|B4,2|B3,3
黄泉教主: G,1,10000|P,S2,10,1|P,S2,10,2|P,R3,8,1|P,R3,2,2|P,B3,8,1|P,B3,2,2|P,O2,1,1|P,O2,1,2|D1,20|SR,4000|SC1,2000|T4P,900|T3,800|W3,4000|T2,80|W2,2000|T1,40|W1,1000|M4,150|M5,300|ST1,640|ST2,500|B6,30|B5,2
牛魔王: G,1,10000|P,O2,1,1|P,S2,2,1|P,S2,6,2|P,S1,3,1|P,S1,4,2|P,R3,2,1|P,R3,2,2|P,B3,2,1|P,B3,2,2|D1,6|SR,4000|SC1,2000|T4P,900|W4,3200|T3,800|W3,4000|T2,1000|W2,1600|T1,500|W1,800|M4,100|M5,200|ST2,800|ST3,500|B6,100|B5,3|B4,2|B3,3
祖玛教主: G,1,30000|P,S2,10,1|P,S2,10,2|P,R4,8,1|P,R4,2,2|P,B4,8,1|P,B4,2,2|P,O2,1,2|D1,30|SR,4000|ZMW,1000|SC1,2000|T4P,900|W4,4000|T3,800|W3,4000|T2,80|W2,2000|T1,40|W1,1000|M4,160|M5,320|ST1,640|ST2,500|B6,60|B5,20|O,1,祖玛头像
魔龙教主: G,1,30000|P,R4,8,1|P,B4,8,1|P,S2,8,1|P,S2,8,2|P,O2,1,2|SR,2000|SC1,600|T5,300|W5,1200|T4P,300|T4,240|W4,600|T3,200|W3,240|T2,160|W2,200|T1,120|W1,160|ST1,160|ST2,120|ST3,120|B6,3|O,1,龙鳞|O,3,龙鳞|O,3,龙鳞|O,100,邪眼骷髅
狐月天珠: G,1,30000|P,R4,8,1|P,B4,8,1|P,S2,8,1|P,S2,8,2|P,O2,1,2|SR,2000|SC1,600|T7,360|T6,240|W5,1200|T4P,300|W4,600|T3,200|W3,240|T2,160|W2,200|T1,120|W1,160|ST1,160|ST2,120|ST3,120|B6,3
火龙教主: G,1,30000|P,R4,8,1|P,B4,8,1|P,S2,8,1|P,S3,8,1|P,O2,1,2|SR,2000|SC1,600|T5,300|W5,1200|T4P,300|T4,240|W4,600|T3,200|W3,240|T2,160|W2,200|T1,120|W1,160|ST1,160|ST2,120|ST3,120|B6,3

;远古骷髅
古代骷髅: P,R2,1,3|P,B2,1,3|S,100000|W2,20000|T1,12000|W1,16000|B6,1000|B5,500
古代掷斧骷髅: P,R2,1,3|P,B2,1,3|S,100000|W2,20000|T1,12000|W1,16000|B6,1000|B5,500
古代骷髅战士: P,R2,1,3|P,B2,1,3|S,100000|W2,20000|T1,12000|W1,16000|B6,1000|B5,500
古代骷髅战将: P,R2,1,3|P,B2,1,3|S,100000|W2,20000|T1,12000|W1,16000|B6,1000|B5,500
古代骷髅精灵: P,S1,4,2|P,R3,8,2|P,B3,8,2|S,100000|W2,4000|T1,1200|W1,1600|B6,100|B5,50
古代骷髅鬼王: P,S2,2,1|P,S2,2,2|P,S1,2,1|P,S1,2,2|P,R2,3,1|P,R3,3,1|P,R3,6,2|P,B2,3,1|P,B3,3,1|P,B3,6,2|P,O2,1,10|S,1000|D1,180|T2,600|W2,4000|T1,800|W1,1000|M4,300|M5,600|ST2,2000|B6,400|B5,20

;远古石墓
古代黑色恶蛆: P,R3,1,3|P,B3,1,3|S,20000|W2,16000|T1,8000|W1,12000|B6,800|B5,400
古代红野猪: P,R3,1,3|P,B3,1,3|S,20000|W2,16000|T1,8000|W1,12000|B6,800|B5,400
古代黑野猪: P,R3,1,3|P,B3,1,3|S,20000|W2,16000|T1,8000|W1,12000|B6,800|B5,400
古代蝎蛇: P,R3,1,3|P,B3,1,3|S,20000|W2,16000|T1,8000|W1,12000|B6,800|B5,400
古代白野猪: P,S1,3,2|P,S2,2,2|P,R3,8,2|P,B3,8,2|S,20000|W2,4000|T1,800|W1,1200|B6,80|B5,40
古代野猪王: P,S2,2,1|P,S2,2,2|P,S1,2,1|P,S1,2,2|P,R2,3,1|P,R3,3,1|P,R3,6,2|P,B2,3,1|P,B3,3,1|P,B3,6,2|P,O2,1,10|S,200|D1,180|T3,1000|T2,300|W2,2000|T1,400|W1,500|M4,150|M5,300|ST2,1000|B6,200|B5,10

;远古苍月
古代恶灵僵尸: P,R3,1,3|P,B3,1,3|S,15000|W2,12000|T1,4000|W1,8000|B6,600|B5,300
古代恶灵尸王: P,R3,1,3|P,B3,1,3|S,15000|W2,12000|T1,4000|W1,8000|B6,600|B5,300
古代骷髅长枪兵: P,R3,1,3|P,B3,1,3|S,15000|W2,12000|T1,4000|W1,8000|B6,600|B5,300
古代骷髅刀斧手: P,R3,1,3|P,B3,1,3|S,15000|W2,12000|T1,4000|W1,8000|B6,600|B5,300
古代骷髅弓箭手: P,R3,1,3|P,B3,1,3|S,15000|W2,12000|T1,4000|W1,8000|B6,600|B5,300
古代骷髅锤兵: P,S1,3,2|P,S2,2,2|P,R3,8,2|P,B3,8,2|S,15000|W2,4000|T1,400|W1,800|B6,60|B5,30
古代黄泉教主: P,S2,3,1|P,S2,3,2|P,S1,3,1|P,S1,3,2|P,R2,3,1|P,R3,3,1|P,R3,6,2|P,B2,3,1|P,B3,3,1|P,B3,6,2|P,O2,1,10|S,150|D1,180|T3,800|T2,200|W2,1500|T1,300|W1,400|M4,100|M5,200|ST2,800|B6,150|B5,10

;远古沃玛
古代沃玛战士: P,R3,1,3|P,B3,1,3|S,12000|W3,20000|W2,12000|T1,4000|W1,8000|B6,600|B5,300
古代沃玛勇士: P,R3,1,3|P,B3,1,3|S,12000|W3,20000|W2,12000|T1,4000|W1,8000|B6,600|B5,300
古代沃玛战将: P,R3,1,3|P,B3,1,3|S,12000|W3,20000|W2,12000|T1,4000|W1,8000|B6,600|B5,300
古代火焰沃玛: P,R3,1,3|P,B3,1,3|S,12000|W3,20000|W2,12000|T1,4000|W1,8000|B6,600|B5,300
古代沃玛卫士: P,S1,3,2|P,S2,3,2|P,R3,8,2|P,B3,8,2|S,12000|W3,4000|W2,2000|T1,400|W1,800|B6,60|B5,30
古代沃玛教主: P,S2,10,1|P,S2,10,2|P,R4,8,1|P,R4,2,2|P,B4,8,1|P,B4,2,2|P,O2,1,2|S,120|D1,30|SR,6000|SC1,3000|T4P,900|T3,600|W3,4000|T2,150|W2,1000|T1,200|W1,300|M4,80|M5,100|ST1,640|ST2,600|B6,100|B5,10

;远古祖玛
古代大老鼠: P,R3,1,3|P,B3,1,3|S,10000|W3,16000|W2,12000|T1,4000|W1,8000|B6,400|B5,200
古代祖玛弓箭手: P,R3,1,3|P,B3,1,3|S,10000|W3,16000|W2,12000|T1,4000|W1,8000|B6,400|B5,200
古代祖玛雕像: P,R3,1,3|P,B3,1,3|S,10000|W3,16000|W2,12000|T1,4000|W1,8000|B6,400|B5,200
古代祖玛卫士: P,S1,4,2|P,S2,4,2|P,R3,8,2|P,B3,8,2|S,10000|W3,4000|W2,2000|T1,400|W1,800|B6,40|B5,20
古代咒魔击雷将: P,S2,10,1|P,S2,10,2|P,R4,8,1|P,R4,2,2|P,B4,8,1|P,B4,2,2|P,O2,1,2|S,100|D1,30|SR,4000|ZMW,500|SC1,2000|T4P,800|W4,4000|T3,500|W3,3000|T2,100|W2,800|T1,150|W1,200|M4,80|M5,80|ST1,500|ST2,400|B6,80|B5,10
